repo_name,year,matched_historical_panel,collaboration_niche,issues_opened,issues_closed_during_window,issues_open_at_cutoff,issue_flow_balance,prs_opened,prs_closed_during_window,prs_open_at_cutoff,pr_flow_balance,issue_unresolved_90d_share,pr_unresolved_90d_share,pr_merged_90d_share,push_actors,actors_for_50pct_pushes,top_5_actor_share
apache/gravitino,2024,yes,model_infra,1705,1433,198,272,1827,1768,0,59,0.201009,0.021987,0.86645,14,2,0.894207
apache/gravitino,2025,yes,model_infra,1001,912,111,89,1271,1243,18,28,0.249057,0.028209,0.83921,14,2,0.905639
apache/gravitino,2026,yes,model_infra,1268,1033,331,235,1870,1678,187,192,0.177112,0.069647,0.722453,11,2,0.873106
apache/hudi,2024,yes,model_infra,357,209,125,148,1077,1080,26,-3,0.5,0.07423,0.7493,16,2,0.873884
apache/hudi,2025,yes,model_infra,140,89,59,51,1114,1080,73,34,0.619048,0.106592,0.669004,12,2,0.835341
apache/hudi,2026,yes,model_infra,656,1767,317,-1111,1355,1182,221,173,0.528358,0.185714,0.690909,14,3,0.876751
apache/iceberg,2024,yes,model_infra,492,731,14,-239,1165,1285,8,-120,0.665552,0.176224,0.665734,18,2,0.82419
apache/iceberg,2025,yes,model_infra,581,616,35,-35,1483,1464,16,19,0.607143,0.055556,0.715812,21,2,0.788863
apache/iceberg,2026,yes,model_infra,604,560,346,44,2352,1872,412,480,0.516129,0.118451,0.592255,24,3,0.671982
apache/spark,2024,yes,model_infra,0,0,0,0,3397,3392,0,5,,0.048663,0.0,30,2,0.784168
apache/spark,2025,yes,model_infra,0,0,0,0,2839,2851,4,-12,,0.058275,0.0,29,3,0.744918
apache/spark,2026,yes,model_infra,103,67,36,36,4613,3609,428,1004,0.523077,0.092976,0.0,31,4,0.643169
bytedance/deer-flow,2024,no,agent_framework,0,0,0,0,0,0,0,0,,,,0,0,
bytedance/deer-flow,2025,no,agent_framework,312,112,13,200,227,200,0,27,0.557471,0.111111,0.733333,10,3,0.816092
bytedance/deer-flow,2026,no,agent_framework,1506,1182,485,324,2656,2108,364,548,0.403304,0.194659,0.503865,10,1,0.953757
charmbracelet/crush,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
charmbracelet/crush,2025,no,agent_application,359,122,32,237,522,456,1,66,0.0,0.0,0.714286,8,3,0.87451
