scope,scope_value,year,threads,issues,pull_requests,repositories,agent_participation_count,agent_participation_share,human_response_within_7d_count,human_response_within_7d_share,maintainer_response_within_7d_count,maintainer_response_within_7d_share,issue_resolved_within_30d_count,issue_resolved_within_30d_share,pr_resolved_within_30d_count,pr_resolved_within_30d_share,pr_reviewed_count,pr_reviewed_share,pr_requested_revision_count,pr_requested_revision_share,requested_revision_followed_by_commit_count,requested_revision_followed_by_commit_share,pr_zero_requested_revision_share,pr_one_requested_revision_share,pr_two_plus_requested_revision_share,median_requested_revision_cycles_among_requested_prs,median_commits_after_first_review
repository,apache/gravitino,2026,50,18,32,1,12,0.24,27,0.54,2,0.04,13,0.7222222222222222,24,0.75,24,0.75,1,0.03125,1,1.0,0.96875,0.03125,0.0,1.0,1.0
repository,apache/hudi,2026,50,17,33,1,1,0.02,26,0.52,24,0.48,3,0.17647058823529413,23,0.696969696969697,28,0.8484848484848485,2,0.06060606060606061,2,1.0,0.9393939393939394,0.030303030303030304,0.030303030303030304,1.5,1.0
repository,apache/iceberg,2026,50,15,35,1,2,0.04,30,0.6,11,0.22,3,0.2,19,0.5428571428571428,27,0.7714285714285715,2,0.05714285714285714,2,1.0,0.9428571428571428,0.05714285714285714,0.0,1.0,0.0
repository,apache/spark,2026,50,2,48,1,0,0.0,35,0.7,25,0.5,0,0.0,38,0.7916666666666666,38,0.7916666666666666,1,0.020833333333333332,0,0.0,0.9791666666666666,0.020833333333333332,0.0,1.0,0.0
repository,coder/coder,2026,50,4,46,1,24,0.48,26,0.52,17,0.34,2,0.5,44,0.9565217391304348,37,0.8043478260869565,5,0.10869565217391304,4,0.8,0.8913043478260869,0.08695652173913043,0.021739130434782608,1.0,1.0
repository,comet-ml/opik,2026,50,3,47,1,0,0.0,36,0.72,24,0.48,0,0.0,44,0.9361702127659575,44,0.9361702127659575,4,0.0851063829787234,2,0.5,0.9148936170212766,0.0851063829787234,0.0,1.0,2.0
repository,danny-avila/LibreChat,2026,50,11,39,1,29,0.58,11,0.22,10,0.2,7,0.6363636363636364,27,0.6923076923076923,26,0.6666666666666666,0,0.0,0,,1.0,0.0,0.0,,2.0
repository,datahub-project/datahub,2026,50,4,46,1,20,0.4,33,0.66,10,0.2,1,0.25,36,0.782608695652174,39,0.8478260869565217,2,0.043478260869565216,2,1.0,0.9565217391304348,0.043478260869565216,0.0,1.0,1.0
repository,eosphoros-ai/DB-GPT,2026,50,17,33,1,9,0.18,35,0.7,34,0.68,6,0.35294117647058826,24,0.7272727272727273,25,0.7575757575757576,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,flashinfer-ai/flashinfer,2026,50,15,35,1,35,0.7,24,0.48,25,0.5,5,0.3333333333333333,24,0.6857142857142857,30,0.8571428571428571,0,0.0,0,,1.0,0.0,0.0,,1.0
repository,ggml-org/llama.cpp,2026,50,14,36,1,1,0.02,37,0.74,27,0.54,6,0.42857142857142855,31,0.8611111111111112,25,0.6944444444444444,1,0.027777777777777776,1,1.0,0.9722222222222222,0.027777777777777776,0.0,1.0,0.0
repository,huggingface/trl,2026,50,10,40,1,18,0.36,33,0.66,27,0.54,7,0.7,32,0.8,32,0.8,1,0.025,1,1.0,0.975,0.025,0.0,1.0,1.0
repository,infiniflow/ragflow,2026,50,14,36,1,44,0.88,23,0.46,12,0.24,1,0.07142857142857142,29,0.8055555555555556,29,0.8055555555555556,2,0.05555555555555555,2,1.0,0.9444444444444444,0.05555555555555555,0.0,1.0,1.0
repository,jax-ml/jax,2026,50,6,44,1,12,0.24,10,0.2,9,0.18,3,0.5,39,0.8863636363636364,11,0.25,0,0.0,0,,1.0,0.0,0.0,,1.0
repository,langchain-ai/langchain,2026,50,18,32,1,27,0.54,14,0.28,3,0.06,9,0.5,29,0.90625,8,0.25,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,langflow-ai/langflow,2026,50,10,40,1,40,0.8,31,0.62,30,0.6,8,0.8,32,0.8,31,0.775,1,0.025,1,1.0,0.975,0.025,0.0,1.0,1.0
repository,langfuse/langfuse,2026,50,8,42,1,44,0.88,13,0.26,4,0.08,5,0.625,37,0.8809523809523809,28,0.6666666666666666,1,0.023809523809523808,0,0.0,0.9761904761904762,0.023809523809523808,0.0,1.0,0.5
repository,langgenius/dify,2026,50,10,40,1,49,0.98,33,0.66,22,0.44,7,0.7,39,0.975,31,0.775,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,livekit/agents,2026,50,13,37,1,34,0.68,32,0.64,20,0.4,10,0.7692307692307693,32,0.8648648648648649,37,1.0,0,0.0,0,,1.0,0.0,0.0,,1.0
repository,lobehub/lobehub,2026,50,10,40,1,47,0.94,2,0.04,14,0.28,7,0.7,37,0.925,32,0.8,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,marimo-team/marimo,2026,50,12,38,1,15,0.3,31,0.62,18,0.36,6,0.5,37,0.9736842105263158,25,0.6578947368421053,1,0.02631578947368421,1,1.0,0.9736842105263158,0.02631578947368421,0.0,1.0,1.0
repository,microsoft/onnxruntime,2026,50,13,37,1,25,0.5,28,0.56,3,0.06,4,0.3076923076923077,26,0.7027027027027027,31,0.8378378378378378,4,0.10810810810810811,4,1.0,0.8918918918918919,0.10810810810810811,0.0,1.0,0.0
repository,milvus-io/milvus,2026,50,16,34,1,7,0.14,28,0.56,17,0.34,8,0.5,28,0.8235294117647058,18,0.5294117647058824,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,mlflow/mlflow,2026,50,5,45,1,25,0.5,30,0.6,28,0.56,4,0.8,37,0.8222222222222222,37,0.8222222222222222,0,0.0,0,,1.0,0.0,0.0,,1.0
repository,n8n-io/n8n,2026,50,10,40,1,50,1.0,34,0.68,14,0.28,10,1.0,39,0.975,36,0.9,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,ollama/ollama,2026,50,26,24,1,2,0.04,24,0.48,21,0.42,16,0.6153846153846154,10,0.4166666666666667,8,0.3333333333333333,1,0.041666666666666664,0,0.0,0.9583333333333334,0.041666666666666664,0.0,1.0,0.0
repository,open-metadata/OpenMetadata,2026,50,9,41,1,39,0.78,27,0.54,17,0.34,3,0.3333333333333333,35,0.8536585365853658,33,0.8048780487804879,0,0.0,0,,1.0,0.0,0.0,,2.0
repository,open-webui/open-webui,2026,50,17,33,1,1,0.02,17,0.34,11,0.22,17,1.0,33,1.0,1,0.030303030303030304,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,openvinotoolkit/openvino,2026,50,3,47,1,11,0.22,28,0.56,4,0.08,3,1.0,31,0.6595744680851063,33,0.7021276595744681,3,0.06382978723404255,2,0.6666666666666666,0.9361702127659575,0.06382978723404255,0.0,1.0,1.0
