sample_rank,repo_id,repo_name,observation_start,observation_end_exclusive,push_actors,collaboration_actors,github_releases,github_stable_releases,github_prereleases,github_release_days,github_stable_release_days,github_release_median_gap_days,github_release_day_median_gap_days,github_first_release_at,github_latest_release_at,event_source,release_source,quality_flag
55,158256479,apache/iceberg,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,26,354,2,2,0,2,2,1.45,2,2026-05-18T21:58:12Z,2026-05-20T08:47:57Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
56,730534580,infiniflow/ragflow,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,8,502,15,15,0,15,15,7.65,8.0,2026-02-10T09:27:14Z,2026-08-28T04:10:07Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
57,86031674,wandb/wandb,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,39,137,14,14,0,14,14,16.96,17,2026-01-13T23:01:48Z,2026-08-26T23:44:47Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
58,488641606,agno-agi/agno,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,20,379,87,71,16,72,64,1.8,2,2026-01-06T17:49:20Z,2026-08-26T10:19:39Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
59,946087422,Kilo-Org/kilocode,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,43,792,239,165,74,132,102,0.57,1,2026-01-03T22:11:35Z,2026-08-28T16:26:10Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
60,1063641074,a2ui-project/a2ui,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,20,210,0,0,0,0,0,,,,,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
61,1266212515,omnigent-ai/omnigent,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,29,69,13,13,0,10,10,6.81,7,2026-06-19T03:47:37Z,2026-08-25T20:10:48Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
62,573661753,activepieces/activepieces,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,25,201,73,73,0,50,50,1.25,3,2026-01-02T16:27:15Z,2026-08-25T15:38:21Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
63,176982014,NVIDIA/Megatron-LM,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,19,303,12,12,0,12,12,22.71,22,2026-01-07T18:23:32Z,2026-08-19T19:02:15Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
64,1157102282,diegosouzapw/OmniRoute,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,6,368,280,279,1,103,103,0.18,1.0,2026-02-18T03:04:31Z,2026-08-26T19:30:30Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
65,136202695,mlflow/mlflow,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,25,421,19,12,7,19,12,10.81,10.5,2026-01-16T04:48:57Z,2026-08-26T08:34:31Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
66,655515393,CopilotKit/CopilotKit,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,28,235,101,99,2,64,62,0.86,2,2026-01-14T22:50:46Z,2026-08-28T15:19:14Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
67,642497346,langfuse/langfuse,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,29,341,147,141,6,92,89,0.84,1,2026-01-06T10:06:13Z,2026-08-28T13:16:46Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
68,1133707766,multica-ai/multica,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,5,369,148,148,0,119,119,0.99,1.0,2026-01-16T05:47:42Z,2026-08-28T09:58:20Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
69,1007406267,coze-dev/coze-loop,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,36,58,2,2,0,2,2,1.13,1,2026-01-19T09:33:56Z,2026-01-20T12:35:01Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
70,979886407,IBM/mcp-context-forge,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,38,177,13,13,0,13,13,14.3,14.5,2026-01-24T15:59:13Z,2026-08-18T13:14:39Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
71,1166129534,NVIDIA/OpenShell,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,25,142,96,94,2,93,92,1.0,1.0,2026-03-16T14:57:48Z,2026-08-28T09:10:23Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
72,1031912724,farion1231/cc-switch,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,6,1295,29,29,0,29,29,7.55,7.5,2026-01-08T05:00:37Z,2026-08-28T00:43:03Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
73,589831718,Comfy-Org/ComfyUI,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,34,1095,52,52,0,43,43,2.66,5.0,2026-01-07T10:34:18Z,2026-08-26T02:09:08Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
74,1183888342,stablyai/orca,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,9,189,940,331,609,157,137,0.08,1.0,2026-03-21T21:45:04Z,2026-08-29T08:18:41Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
75,725205304,unslothai/unsloth,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,15,414,36,36,0,32,32,4.0,5,2026-02-10T15:25:10Z,2026-08-27T13:09:58Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
76,552661142,langchain-ai/langchain,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,23,717,219,218,1,112,111,0.56,1,2026-01-02T18:28:08Z,2026-08-28T16:19:22Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
77,153097643,openvinotoolkit/openvino,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,13,413,7,7,0,6,6,32.37,43,2026-02-23T16:46:54Z,2026-08-26T11:27:49Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
78,974445592,microsoft/agent-framework,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,27,429,75,74,1,59,59,1.94,4.0,2026-01-06T23:51:29Z,2026-08-28T00:52:39Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
79,638951438,comet-ml/opik,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,47,116,238,238,0,148,148,0.8,1,2026-01-01T12:08:24Z,2026-08-28T11:15:11Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
80,678526156,marimo-team/marimo,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,15,305,35,35,0,34,34,6.5,7,2026-01-08T23:28:05Z,2026-08-17T21:32:47Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
81,55072677,weaviate/weaviate,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,26,96,109,102,7,70,66,0.97,2,2026-01-05T10:03:36Z,2026-08-27T10:13:43Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
82,599320067,langflow-ai/langflow,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,37,264,31,24,7,29,23,7.06,7.0,2026-01-07T18:20:48Z,2026-08-25T15:35:11Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
83,1216785679,esengine/DeepSeek-Reasonix,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,4,298,217,198,19,83,76,0.22,1.0,2026-05-04T11:58:27Z,2026-08-29T00:06:27Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
84,564072810,Arize-ai/phoenix,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,27,116,206,206,0,125,125,0.71,1.0,2026-01-06T22:44:27Z,2026-08-29T01:59:09Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
85,76474200,apache/hudi,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,15,84,3,3,0,3,3,8.91,9.0,2026-05-21T14:17:37Z,2026-06-08T10:09:51Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
86,614765452,Significant-Gravitas/AutoGPT,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,21,153,35,34,1,33,32,6.97,7.0,2026-01-07T12:49:32Z,2026-08-28T06:48:00Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
87,65711522,PaddlePaddle/Paddle,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,42,319,1,1,0,1,1,,,2026-01-31T07:13:02Z,2026-01-31T07:13:02Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
88,1108837393,code-yeongyu/oh-my-openagent,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,10,1278,176,168,8,116,110,0.7,1,2026-01-01T06:44:06Z,2026-08-29T00:12:41Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
89,291438522,siyuan-note/siyuan,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,3,172,103,20,83,91,20,1.48,2.0,2026-01-02T04:41:52Z,2026-08-29T09:42:31Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
90,881221486,verl-project/verl,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,19,608,4,4,0,4,4,73.85,74,2026-01-05T10:17:48Z,2026-08-14T07:55:09Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
91,250510075,huggingface/trl,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,17,197,24,23,1,22,22,10.6,11,2026-01-16T02:34:32Z,2026-08-26T20:05:50Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
92,627480054,eosphoros-ai/DB-GPT,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,5,128,4,4,0,4,4,69.24,69,2026-02-11T07:12:40Z,2026-08-26T11:10:31Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
93,600596928,danny-avila/LibreChat,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,7,360,24,0,24,15,0,8.04,12.5,2026-01-07T16:59:03Z,2026-08-14T07:33:03Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
94,631431061,apache/gravitino,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,12,125,4,4,0,4,4,40.99,41,2026-03-13T12:17:48Z,2026-06-29T09:19:48Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
95,987670088,charmbracelet/crush,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,12,273,93,93,0,86,86,2.01,2,2026-01-03T17:54:30Z,2026-08-26T17:03:03Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
96,846698999,aaif-goose/goose,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,38,454,49,48,1,45,44,3.98,4.5,2026-01-06T20:48:31Z,2026-08-27T19:12:05Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
97,701547123,open-webui/open-webui,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,1,907,28,28,0,22,22,1.54,6,2026-01-09T18:51:57Z,2026-08-25T21:17:57Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
98,707441527,livekit/agents,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,30,368,39,36,3,34,33,5.77,7,2026-01-14T18:45:33Z,2026-08-27T03:42:44Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
99,1012087571,router-for-me/CLIProxyAPI,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,6,957,439,439,0,202,202,0.38,1,2026-01-01T13:06:28Z,2026-08-28T09:30:32Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
100,819733173,kvcache-ai/Mooncake,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,30,194,10,10,0,10,10,27.22,27,2026-01-09T05:32:05Z,2026-08-26T09:17:50Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
