cohort,rank,repo_id,repo_name,year,push_events,push_actors,actors_for_50pct_pushes,top_actor_share,top_5_actor_share,quality_flag
Agentic AI Top 100,57,86031674,wandb/wandb,2024,6389,42,3,0.233213,0.686805,observed
Agentic AI Top 100,57,86031674,wandb/wandb,2025,6057,29,2,0.380551,0.826647,observed
Agentic AI Top 100,57,86031674,wandb/wandb,2026,2323,37,3,0.273784,0.823935,observed
Agentic AI Top 100,58,488641606,agno-agi/agno,2024,962,5,1,0.912682,1.0,observed
Agentic AI Top 100,58,488641606,agno-agi/agno,2025,6117,21,2,0.388262,0.778323,observed
Agentic AI Top 100,58,488641606,agno-agi/agno,2026,3255,20,2,0.315207,0.84639,observed
Agentic AI Top 100,59,946087422,Kilo-Org/kilocode,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,59,946087422,Kilo-Org/kilocode,2025,1537,18,2,0.35784,0.837345,observed
Agentic AI Top 100,59,946087422,Kilo-Org/kilocode,2026,4257,39,3,0.244069,0.690157,observed
Agentic AI Top 100,60,1063641074,a2ui-project/a2ui,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,60,1063641074,a2ui-project/a2ui,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,60,1063641074,a2ui-project/a2ui,2026,807,18,4,0.211896,0.67658,observed
Agentic AI Top 100,61,1266212515,omnigent-ai/omnigent,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,61,1266212515,omnigent-ai/omnigent,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,61,1266212515,omnigent-ai/omnigent,2026,1583,24,3,0.238787,0.769425,observed
Agentic AI Top 100,62,573661753,activepieces/activepieces,2024,3405,8,1,0.703671,0.980323,observed
Agentic AI Top 100,62,573661753,activepieces/activepieces,2025,14865,12,1,0.678036,0.980558,observed
Agentic AI Top 100,62,573661753,activepieces/activepieces,2026,39874,21,1,0.913854,0.978507,observed
Agentic AI Top 100,63,176982014,NVIDIA/Megatron-LM,2024,208,6,1,0.504808,0.995192,observed
